"Team","VAR","Player","ADP","Pos","Site Pos","GS","W","L","T/O","SO","SV","SV%","GA","GAA","SA","Points"
"Jets","107.5","Connor Hellebuyck","9.6","G","G","62","39.1","19.4","3.6","6.3","1621","0.923","135.2","2.18","1756.2","202.2"
"Lightning","77.6","Andrei Vasilevskiy","15.4","G","G","62","37.2","20.7","4","4.6","1642.4","0.914","154.5","2.49","1796.9","172.3"
"Stars","66.6","Jake Oettinger","18.1","G","G","58","36.8","15.8","5.4","2.9","1521.8","0.912","146.8","2.53","1668.6","161.3"
"Panthers","61","Sergei Bobrovsky","45.8","G","G","54","35.1","16.7","2.2","4.6","1348","0.91","133.3","2.47","1481.3","155.7"
"Kings","51","Darcy Kuemper","50.6","G","G","55","30.6","17.2","7.2","4.6","1332.1","0.915","123.7","2.25","1455.8","145.7"
"Rangers","46.7","Igor Shesterkin","31.4","G","G","58","31.8","22.5","3.6","4.8","1550.1","0.909","155.2","2.68","1705.3","141.4"
"Maple Leafs","46.4","Anthony Stolarz","65.1","G","G","47","26.8","14.4","5.8","4.8","1266.1","0.922","107.1","2.28","1373.2","141.1"
"Wild","39.2","Filip Gustavsson","53.0","G","G","52","29","17","6","4.3","1399.5","0.912","135","2.6","1534.6","133.9"
"Knights","38.7","Adin Hill","58.1","G","G","50","31.3","14.5","4.2","3.3","1271.3","0.908","128.8","2.58","1400.1","133.4"
"Avalanche","37.3","Mackenzie Blackwood","27.4","G","G","50","31.1","16.2","2.7","3.1","1261.2","0.908","127.8","2.56","1389","132"
"Oilers","32.3","Stuart Skinner","131.9","G","G","52","32.4","14.8","4.8","2.4","1309.5","0.903","140.7","2.71","1450.2","127"
"Predators","31.6","Juuse Saros","98.2","G","G","62","31.6","24.7","5.5","3.4","1670.8","0.904","177.4","2.86","1848.3","126.3"
"Flames","29.8","Dustin Wolf","63.4","G","G","56","28.7","19.8","7.5","2.7","1452.6","0.91","143.7","2.57","1596.2","124.5"
"Islanders","29.3","Ilya Sorokin","59.0","G","G","60","27.2","24.2","8.6","3.8","1644.2","0.911","160.6","2.68","1804.8","124"
"Senators","21.9","Linus Ullmark","79.6","G","G","44","25.8","15.8","2.3","3.1","1171.5","0.912","113","2.57","1284.5","116.6"
"Capitals","19.2","Logan Thompson","71.5","G","G","45","26.8","12.5","5.7","1.8","1171.6","0.91","115.9","2.57","1287.5","113.9"
"Canadiens","16.7","Sam Montembeault","107.4","G","G","57","28.5","22.1","6.4","3.7","1584.4","0.902","172.1","3.02","1756.6","111.4"
"Hurricanes","15.6","Frederik Andersen","157.8","G","G","39","25.7","12.1","1.2","2.9","889.8","0.908","90.2","2.31","980","110.3"
